"ISO","Country","Subject Descriptor","Units","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"BHS","The Bahamas","GDP"," (billions) 2005 USD","4277.7299999999996","3883.0500000000002","4143.1700000000001","4292.21","4900.46","5137.1099999999997","5229.4300000000003","5385.5","5509.8900000000003","5880.5600000000004","5786.6899999999996","5544.6999999999998","5332.5799999999999","5349.0","5517.4300000000003","5759.0299999999997","6002.2600000000002","6299.1199999999999","6727.96","6999.0799999999999","7132.5900000000001","7190.0299999999997","7290.8999999999996","7430.1400000000003","7639.21","7706.2200000000003","7968.21","8190.9799999999996","8272.9599999999991","7829.0299999999997","7903.8800000000001","8061.96","8263.5100000000002","8266.0673139999999","8350.8674449999999","8390.1526169999997","8515.9595389999995","8644.1698460000007","8838.4279170000009","9035.8453910000007","9171.5708840000007","9310.7740470000008","9490.5062830000006","9669.3727209999997","9848.0808949999991","10026.12808","10210.59893","10394.93014","10580.35058","10767.195390000001","10956.96344","11156.804529999999","11360.13675","11565.517089999999","11771.03707","11976.06365","12191.43325","12407.22179","12624.853639999999","12847.08446","13075.47827","13327.323109999999","13590.67468","13863.447630000001","14142.113590000001","14423.94483","14726.01527","15032.07955","15342.49144","15658.898740000001","15982.818950000001"
"BHR","Bahrain","GDP"," (billions) 2005 USD","5006.3999999999996","4740.2299999999996","4382.0500000000002","4661.46","4894.71","4661.8000000000002","4716.9499999999998","5207.4700000000003","5571.9899999999998","5592.2700000000004","5840.46","6496.3400000000001","6930.9499999999998","7822.96","7803.3999999999996","8110.0699999999997","8443.3999999999996","8704.5499999999993","9121.5","9513.7299999999996","10017.950000000001","10478.780000000001","11029.959999999999","11824.120000000001","12486.27","13460.200000000001","14355.709999999999","15559.290000000001","16540.77","17054.360000000001","17751.200000000001","18013.209999999999","18667.810000000001","19677.50158","20561.586299999999","21209.482749999999","21667.664929999999","22104.663960000002","22516.510050000001","22937.912090000002","23443.530500000001","23963.387220000001","24496.93001","25011.120640000001","25520.441579999999","26041.517960000001","26546.388009999999","27055.767380000001","27575.022499999999","28098.280490000001","28608.380590000001","29136.12844","29656.44514","30179.440180000001","30698.412850000001","31201.958340000001","31704.296139999999","32194.2065","32679.003680000002","33155.337339999998","33626.470170000001","34099.190519999996","34575.183299999997","35063.924930000001","35571.424599999998","36104.159019999999","36673.679080000002","37272.173799999997","37898.951679999998","38554.441250000003","39234.113709999998"
"BGD","Bangladesh","GDP"," (billions) 2005 USD","20089.27","20853.060000000001","21348.630000000001","22206.009999999998","23356.43","24109.27","25133.57","26071.619999999999","26634.560000000001","27330.349999999999","28954.130000000001","29921.009999999998","31428.77","32866.440000000002","34208.940000000002","35893.739999999998","37552.739999999998","39575.919999999998","41644.760000000002","43672.540000000001","46268.660000000003","48708.879999999997","50859.57","53532.75","56889.519999999997","60277.559999999998","64273.559999999998","68404.970000000001","72652.990000000005","76946.770000000004","81852.130000000005","87025.179999999993","92336.330000000002","97911.310530000002","104072.1922","110734.53290000001","117995.83530000001","126141.44160000001","134971.8082","144419.63459999999","154155.74799999999","164175.85980000001","172941.82750000001","182073.4626","191614.26500000001","201575.99669999999","211712.10560000001","222220.34220000001","233136.80439999999","244445.46679999999","256173.17569999999","267959.38189999998","280092.78450000001","292583.95549999998","305446.53970000002","318706.89679999999","332048.64809999999","345746.57699999999","359818.1483","374276.50929999998","389119.31199999998","404285.81910000002","420006.7193","436311.04499999998","453215.2329","470713.22340000002","488451.83610000001","506717.49790000002","525501.23820000002","544764.97860000003","564494.14359999995"
"BRB","Barbados","GDP"," (billions) 2005 USD","2157.6999999999998","2088.5100000000002","1983.9000000000001","1987.46","2054.27","2064.7399999999998","2259.46","2282.5300000000002","2425.1799999999998","2547.3899999999999","2424.9499999999998","2354.3299999999999","2237.1100000000001","2259.23","2349.0300000000002","2384.0300000000002","2427.75","2583.0","2689.2199999999998","2758.9499999999998","2822.73","2764.4699999999998","2707.73","2760.6399999999999","2892.8400000000001","3005.0","3111.9499999999998","3231.0100000000002","3225.1999999999998","3073.8000000000002","3084.2600000000002","3139.77","3208.8499999999999","3207.6520460000002","3214.8751560000001","3229.9741170000002","3297.9819040000002","3373.935657","3444.6185139999998","3513.4874100000002","3583.6425840000002","3655.1244200000001","3721.945639","3787.551586","3853.0173110000001","3918.5204279999998","3985.238816","4052.097428","4119.4421490000004","4187.1327540000002","4255.5338250000004","4325.6456250000001","4396.6174629999996","4468.1408460000002","4540.010115","4612.1130890000004","4688.4601650000004","4765.6392340000002","4843.771823","4923.3066479999998","5004.3465399999995","5092.8743720000002","5184.9077950000001","5280.3346279999996","5378.7996389999998","5479.7886749999998","5587.0223349999997","5696.7239310000004","5808.9588990000002","5923.6711509999996","6041.1972239999996"
"BLR","Belarus","GDP"," (billions) 2005 USD","19920.310000000001","20338.630000000001","20926.509999999998","21596.130000000001","21898.450000000001","22139.310000000001","23069.169999999998","23369.060000000001","23719.549999999999","24407.43","23720.630000000001","23435.98","21186.130000000001","19575.98","17285.59","15487.889999999999","15921.549999999999","17736.610000000001","19226.48","19880.189999999999","21033.240000000002","22027.119999999999","23138.450000000001","24768.130000000001","27604.02","30210.09","33230.489999999998","36088.32","39697.139999999999","39762.25","42765.489999999998","44884.519999999997","45441.989999999998","45907.22969","46636.177080000001","44820.069629999998","43629.428169999999","43792.580699999999","44164.893459999999","44623.973579999998","45119.708319999998","45679.388330000002","48336.936829999999","51163.39329","54180.693070000001","57400.940390000003","60565.843549999998","63909.292589999997","67458.229359999998","71210.988819999999","75184.982870000007","79089.977140000003","83178.745410000003","87464.079509999996","91946.098790000004","96624.445229999998","101270.7694","106104.4307","111131.2482","116355.4271","121781.3602","127181.0334","132828.64430000001","138752.0441","144985.0336","151554.4638","158207.7599","165193.8143","172554.80420000001","180348.7617","188647.30069999999"
"BEL","Belgium","GDP"," (billions) 2005 USD","231151.20000000001","230505.64000000001","231877.13","232600.14000000001","238337.0","242273.79999999999","246689.89000000001","252380.19","264300.63","273469.63","282049.46999999997","287219.63","291616.03000000003","288811.0","298130.90999999997","305240.59000000003","308888.25","319736.46999999997","325114.88","336224.19","348815.69","351584.84000000003","356889.65999999997","360426.15999999997","371140.53000000003","377350.0","388094.46999999997","398957.69","403346.19","392645.40999999997","400914.5","408389.71999999997","407237.84000000003","407306.1202","412796.3872","418454.9523","423313.06069999997","429188.30800000002","435556.20400000003","441990.43849999999","448441.42509999999","454908.56949999998","463846.40590000001","472976.25060000003","482313.93979999999","491885.38589999999","501706.36040000001","511773.5552","522071.2537","532590.50959999999","543311.00950000004","554030.86699999997","564740.83790000004","575450.60829999996","586170.73730000004","596917.89740000002","607708.99690000003","618555.28610000003","629470.24589999998","640469.34389999998","651576.04480000003","662808.93570000003","674186.19440000004","685722.58109999995","697436.96649999998","709350.38729999994","721481.38729999994","733845.87809999997","746454.14769999997","758956.34849999996","771749.60270000005"
"BLZ","Belize","GDP"," (billions) 2005 USD","298.06999999999999","301.92000000000002","301.06","294.72000000000003","300.49000000000001","303.69999999999999","317.58999999999997","353.20999999999998","385.83999999999997","436.35000000000002","482.73000000000002","538.96000000000004","603.17999999999995","640.49000000000001","642.39999999999998","644.46000000000004","655.64999999999998","679.14999999999998","704.35000000000002","763.77999999999997","857.32000000000005","899.74000000000001","945.50999999999999","1033.8","1081.78","1114.8699999999999","1166.75","1180.97","1216.9200000000001","1216.6099999999999","1249.99","1281.24","1316.47","1336.6164309999999","1384.0683899999999","1404.7340819999999","1439.36294","1478.2990480000001","1516.8861010000001","1555.262794","1593.0148139999999","1624.73525","1702.661613","1783.0944500000001","1866.31584","1952.3338429999999","2041.9705180000001","2134.427983","2229.9963779999998","2328.6031680000001","2430.490135","2536.0199510000002","2644.7009939999998","2756.565501","2871.8552540000001","2990.8523319999999","3115.3459229999999","3244.119056","3377.1878510000001","3514.6651390000002","3656.5750979999998","3805.5209159999999","3961.0029100000002","4122.9646629999997","4291.3578189999998","4466.0211900000004","4648.3571119999997","4837.1244379999998","5032.2264539999996","5233.6228629999996","5441.4345569999996"
"BEN","Benin","GDP"," (billions) 2005 USD","1704.5999999999999","1874.28","1916.1700000000001","1832.8599999999999","1978.2","2127.1599999999999","2173.3499999999999","2140.75","2213.6500000000001","2150.46","2219.5599999999999","2324.3800000000001","2417.5900000000001","2502.6700000000001","2612.0999999999999","2732.3699999999999","2883.9400000000001","3061.25","3200.25","3350.5799999999999","3544.9099999999999","3722.1599999999999","3889.6500000000001","4041.3499999999999","4166.6300000000001","4287.46","4450.3900000000003","4655.1099999999997","4892.5200000000004","5023.0","5152.3900000000003","5346.8400000000001","5574.9899999999998","5958.1435330000004","6347.921797","6678.4831919999997","7012.4300469999998","7377.0143070000004","7775.2621360000003","8194.8664129999997","8653.1344779999999","9137.3655269999999","9702.7644799999998","10307.41698","10953.326069999999","11640.754279999999","12362.12703","13126.496859999999","13939.29918","14801.54522","15718.31063","16670.790249999998","17678.615740000001","18744.276269999998","19870.727800000001","21062.977879999999","22309.49452","23627.303469999999","25021.43175","26498.316269999999","28062.760429999998","29711.127659999998","31470.58526","33349.485670000002","35356.200790000003","37497.27448","39752.375030000003","42150.09908","44696.893300000003","47396.102529999996","50254.270660000002"
"BTN","Bhutan","GDP"," (billions) 2005 USD","133.83000000000001","152.02000000000001","164.47999999999999","176.55000000000001","189.99000000000001","198.25","214.02000000000001","257.31999999999999","296.12","314.45999999999998","343.06999999999999","359.87","367.36000000000001","379.08999999999997","392.39999999999998","416.08999999999997","441.86000000000001","465.69999999999999","491.63999999999999","525.39999999999998","564.88999999999999","604.36000000000001","658.25","717.26999999999998","767.63","818.87","871.13","993.50999999999999","1130.8499999999999","1206.9300000000001","1307.1300000000001","1412.52","1532.73","1607.9158950000001","1711.027891","1842.212102","1996.8708509999999","2168.5254749999999","2412.1772030000002","2596.3371390000002","2764.992397","2972.9561720000002","3135.3656959999998","3304.2306579999999","3480.2489430000001","3663.2926069999999","3849.9885359999998","4042.663016","4242.1535080000003","4447.7388650000003","4659.9424989999998","4872.367131","5089.8979559999998","5312.5815009999997","5540.5922360000004","5774.4768379999996","6008.6405940000004","6247.8291239999999","6492.0773220000001","6741.4549770000003","6995.6713019999997","7252.9699540000001","7517.7941350000001","7790.5509439999996","8071.449748","8360.2346550000002","8653.2882929999996","8953.1928380000008","9260.0762350000005","9573.7407500000008","9894.4887999999992"
"BOL","Bolivia","GDP"," (billions) 2005 USD","5342.3100000000004","5357.04","5146.04","4938.0299999999997","4928.1199999999999","4845.5","4720.79","4837.0799999999999","4977.8199999999997","5166.4799999999996","5405.9899999999998","5690.6999999999998","5784.3999999999996","6031.3500000000004","6312.8500000000004","6608.1800000000003","6896.3900000000003","7238.0500000000002","7602.0699999999997","7634.5299999999997","7825.9899999999998","7957.7600000000002","8155.5500000000002","8376.6800000000003","8726.2600000000002","9549.2000000000007","9985.0599999999995","9985.0599999999995","10598.99","10954.799999999999","11406.9","11977.25","12516.219999999999","13366.810820000001","14096.733200000001","14773.37962","15334.74257","15871.42554","16426.929039999999","17001.90194","17596.97222","18212.836220000001","19171.327659999999","20175.712210000002","21230.450069999999","22338.403340000001","23498.94904","24709.75776","25978.24209","27302.695609999999","28684.662230000002","30113.33454","31596.323769999999","33139.89587","34747.960290000003","36425.509919999997","38138.840459999999","39919.119140000003","41774.137759999998","43709.728889999999","45730.190210000001","47824.154540000003","50024.387179999998","52339.916879999997","54777.289479999999","57340.378299999997","60003.027090000003","62791.735189999999","65708.850090000007","68751.446479999999","71920.120240000004"
"BIH","Bosnia and Herzegovina","GDP"," (billions) 2005 USD","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","5465.6974620000001","6714.6724199999999","7642.8599590000003","8463.9027499999993","8839.9426550000007","9048.5742809999992","9505.7212","9872.9648080000006","10490.349469999999","10935.0","11557.110640000001","12248.15598","12933.269179999999","12827.796329999999","12925.952209999999","13043.74228","12921.794669999999","13231.268099999999","13374.275299999999","13749.00735","14161.53952","14614.425310000001","15155.418180000001","15746.20184","16375.943209999999","17037.62299","17525.065190000001","18023.085309999999","18531.739320000001","19051.62372","19581.015500000001","20120.55529","20669.68766","21228.106739999999","21795.47653","22370.508730000001","22953.646110000001","23544.77909","24143.183819999998","24748.3478","25358.270690000001","25973.23963","26592.540639999999","27215.565569999999","27842.561269999998","28472.976709999999","29108.88248","29751.230930000002","30400.692299999999","31058.7916","31724.776999999998","32401.431489999999","33089.520450000004","33743.204389999999","34408.39215"
"BWA","Botswana","GDP"," (billions) 2005 USD","1557.0799999999999","1698.22","1904.8199999999999","2155.2399999999998","2339.4200000000001","2506.0999999999999","2710.9299999999998","3033.04","3622.96","4096.1000000000004","4373.5200000000004","4699.7299999999996","4836.8199999999997","4929.5","5108.3400000000001","5333.3000000000002","5629.4200000000001","6201.9099999999999","6857.6599999999999","7352.79","7958.1899999999996","8373.0499999999993","8651.7099999999991","9195.3299999999999","9796.6399999999994","10255.450000000001","10558.76","11006.98","10896.91","10359.26","11104.82","11797.65","12422.92","13647.903899999999","14085.31047","14037.614240000001","14556.02311","15181.6762","15852.489890000001","16637.709869999999","17351.62284","18053.77101","18960.164079999999","19905.72222","20892.745029999998","21922.894349999999","22978.797399999999","24079.24624","25226.073349999999","26417.742679999999","27655.29623","28898.284380000001","30181.65928","31506.965960000001","32876.207589999998","34291.737670000002","35721.918720000001","37195.325089999998","38714.067719999999","40280.140809999997","41895.107369999998","43533.321459999999","45236.508249999999","47008.242910000001","48850.268100000001","50763.446179999999","52719.813629999997","54740.830410000002","56828.418839999998","58984.950380000002","61212.904289999999"
