"ISO3","SC","Year","infraPt","capitalCostBus","busVKM","ptVKM","lighRail_BRTLength","undergroundRailLength","OM_infraPt"
"MAC","BAU",2030,0.00742071301583325,0.0185517825395831,23558294.7347282,23558294.7347282,0,0,0.00000000000629987280437076
"MAC","ROG",2030,0.01031495380986,0.0257873845246499,32390715.8341956,32390715.8341956,0,0,0.00000000000636908048754528
"MAC","LUT",2030,0.0084463730255966,0.0211159325639915,26523053.185192,26523053.185192,0,0,0.00000000000636908048754528
"MAC","BAU",2035,0.00923490982143327,0.0230872745535832,29251281.4732415,29251281.4732415,0,0,0.00000000000631419162260032
"MAC","ROG",2035,0.0134293078617039,0.0335732696542599,41685954.141859,41685954.141859,0,0,0.000000000006443085273281
"MAC","LUT",2035,0.0099815140072228,0.024953785018057,30983647.0692555,30983647.0692555,0,0,0.000000000006443085273281
"MAC","BAU",2040,0.0113882470534148,0.0284706176335371,35885747.6957915,35885747.6957915,0,0,0.00000000000634694706653716
"MAC","ROG",2040,0.0171856647813349,0.0429641619533373,52620480.4057345,52620480.4057345,0,0,0.00000000000653193001995552
"MAC","LUT",2040,0.0334035376010151,0.0369618717629632,45269158.3039524,45327918.8036186,0.370460319580094,0.217876452050296,0.00000000000653193001995552
"MAC","BAU",2045,0.0137083998331706,0.0342709995829264,42910624.7865127,42910624.7865127,0,0,0.00000000000638927999830908
"MAC","ROG",2045,0.0212050263276815,0.0530125658192038,63996139.9135625,63996139.9135625,0,0,0.00000000000662697042550456
"MAC","LUT",2045,0.0204815360172479,0.042263676305479,51020208.139542,51080453.2122282,0.379819930178581,0.223381059809858,0.00000000000662697042550456
"MAC","BAU",2050,0.0164237069457283,0.0410592673643208,51039032.6174055,51039032.6174055,0,0,0.00000000000643574382329788
"MAC","ROG",2050,0.0254418844602695,0.0636047111506738,75889318.5475855,75889318.5475855,0,0,0.00000000000670499747453036
"MAC","LUT",2050,0.0221693495523537,0.0474655541513167,56633046.41843,56692726.2975284,0.379819930178581,0.223381059809858,0.00000000000670499747453036
"MEX","BAU",2015,2.14058451958034,5.35146129895085,4491006844.97913,4526437281.64777,576.242628927263,303.38466270878,804.804482902747
"MEX","ROG",2015,2.27181234624156,5.67953086560389,4766039268.40945,4802999919.62568,576.242628927263,303.38466270878,804.804482902747
"MEX","LUT",2015,2.27181234624156,5.67953086560389,4766039268.40945,4802999919.62568,576.242628927263,303.38466270878,804.804482902747
"MEX","BAU",2020,3.82654607628909,6.06554191724781,5017829647.7103,5056209009.24974,604.166534769537,319.91382492895,836.062643948263
"MEX","ROG",2020,5.64576264555935,6.91949916762625,5724196466.28516,5767103155.0412,632.534389002449,337.410925421315,867.198839471617
"MEX","LUT",2020,5.64576264555935,6.91949916762625,5724196466.28516,5767103155.0412,632.534389002449,337.410925421315,867.198839471617
"MEX","BAU",2025,4.47377606643926,6.78319932150787,5534604948.20044,5576117415.33503,633.827619415122,337.8630640509,871.170207130918
"MEX","ROG",2025,13.5053653383023,9.39866207811941,7670868862.22068,7732532838.07531,810.08069768303,446.495200310252,1065.34111373817
"MEX","LUT",2025,13.8519949970971,9.39899819460871,7671143189.08662,7733719862.50007,818.74346587977,450.46575927356,1068.7840427643
"MEX","BAU",2030,5.19830740382787,7.48792556660944,6087455770.70534,6132424147.47068,666.54111522798,357.863437784576,911.835397426058
"MEX","ROG",2030,15.56265243626,12.272066884146,9974306959.69739,10053303601.5812,974.143807887414,547.210189105003,1252.24841645199
"MEX","LUT",2030,15.9503830312291,12.2148519963585,9927804699.0069,10008632204.5337,991.520278581913,555.229881853044,1259.21318084225
"MEX","BAU",2035,5.08667844630916,8.0398767687441,6517366794.86894,6564536031.91151,687.37783672913,370.404389012477,941.951970645029
