"ISO3","SC","Year","localroad_invest_billion","mainroad_invest_billion","main_road","local_rd","CarVKM","OM_road"
"DEU","LUT",2020,8.69798948704736,8.6984193535024,30683.7656959567,305324.772987087,72890889268.1513,4209941223.16225
"IND","LUT",2020,58.4615348415703,14.0963478861974,23471.0895936386,507617.870472566,216127424668.708,3983483657.86865
"ITA","LUT",2020,7.96545943745123,8.99097165820352,32618.9425,366064.032041704,92129412596.6511,5579455881.81002
"JPN","LUT",2020,19.7586375095096,39.5654139210534,120736.062900682,1842577.40278842,933575488384.332,31555020260.006
"KOR","LUT",2020,7.46696066079642,10.7983869530256,28358.7317618472,149205.609456675,216915718857.526,3149368843.5773
"MEX","LUT",2020,35.4386328494003,16.6082437545995,34120.0021532597,679711.502762671,163924683344.392,7404965999.671
"IRN","LUT",2020,20.1507353255939,9.22518624420371,18444.9934266296,286054.266070533,135809396820.959,2448873080.78899
"IRQ","LUT",2020,18.973605974968,5.29990338231199,6202.8185230352,122445.021613076,23787824390.9759,1502678738.55846
"SAU","LUT",2020,5.31470143992912,6.98288417172494,12357.1391333735,129455.5769559,71532121123.6206,1505637502.29202
"SYR","LUT",2020,1.61502629133979,2.99265135071232,4159.62026808675,12526.7089305492,13243770718.443,284149110.413856
"JOR","LUT",2020,0.422696773838866,0.444088806051775,1416.8628130467,7114.40611716074,2343904821.81989,149329573.947166
"LBN","LUT",2020,0.433422690855166,0.255858695342678,871.88962561076,22180.6168282616,5835733193.46207,249128401.495017
"KWT","LUT",2020,1.65846248076728,3.91768061153884,5960.3923027933,25724.1357378974,17016096536.6148,494130867.024352
"QAT","LUT",2020,0.599691588500623,0.591113210347657,836.266764946982,9316.12562849196,7252998017.05711,130398611.254247
"ARE","LUT",2020,1.97583975745741,2.82137475110934,3949.53537314717,27986.9082024261,23552943727.033,326983178.057037
"OMN","LUT",2020,0.562732003845046,1.90367351745336,2896.1371893904,9473.63482507508,3745780142.809,176414600.776645
"YEM","LUT",2020,0.0261397774564846,0.623845267866927,768.576127861545,9060.02783708959,5177726705.74338,111907627.073281
"BHR","LUT",2020,0.584991262841834,0.363223309177579,497.740700684095,8710.49277833738,1367691432.97859,66803269.9641945
"NOR","LUT",2020,0.0913313854036775,0.098580756807847,246.193323463016,1744.58636751303,1262647451.55257,29898920.8156461
"TUR","LUT",2020,29.3041441686659,3.43030980793746,12092.5108727377,316165.310492264,34310795047.7771,4001914049.7123
"CHE","LUT",2020,1.17548594868163,1.57226851229674,3603.15209270065,25498.679588744,5108621412.63713,390645770.523602
"AFG","LUT",2020,1.51679344975224,0.105137199416101,191.05558384679,15989.6613109548,1822602348.0255,163422900.21751
"PAK","LUT",2020,5.63888935962878,2.68267425704278,5367.72111653752,64995.2312619211,36475131274.9198,648725293.58999
"BGD","LUT",2020,3.21358255484122,0.365779605595618,607.003697175989,28340.5455518151,19562414642.4598,193428370.434609
"NPL","LUT",2020,0.101431533870914,0.0502591638135964,89.2445818650321,1917.0232549339,662257650.934789,15365909.8179078
"MAC","LUT",2020,0.0218149577905706,0.00000140509598533278,0.00298454715781165,631.152927267788,275091745.435674,4611227.52174233
"LKA","LUT",2020,0.21328098127686,0.0995560818351381,218.22795689067,4788.78184765126,208000074.315986,38428295.1532034
"MNG","LUT",2020,0.142997023449329,0.0683336307278827,114.912371126069,1624.68065106329,833106545.467396,11728398.0093978
"HKG","LUT",2020,0.111713708449837,0.300023927239666,1231.53344350778,4766.8302643914,5647085546.20104,49725299.181475
"BLR","LUT",2020,0.169228576188932,0.124645183567294,543.134683276727,22208.2817251991,2824650567.50063,221901726.474662
"UKR","LUT",2020,1.93000511986829,0.388142965050719,1654.93036044034,49968.4980973375,9221888898.86666,490099640.249436
"SRB","LUT",2020,0.875382553654995,0.160978471886257,752.8425,14059.2559678724,1104952746.64317,143715291.286425
"BIH","LUT",2020,0.282050958620873,0.00403139971606638,16.8525,2870.3697546317,54644395.2548839,33151634.6498875
"MKD","LUT",2020,0.249644845898508,0.0893062996549227,294.327555679557,5695.9292690532,338248297.291129,61850454.2637742
"ALB","LUT",2020,0.402924657191465,0.0228916468934061,37.7463500692432,4132.06846018138,306991868.10567,35354276.3617334
"HRV","LUT",2020,0.443603361284261,0.232767403923109,795.65,12021.092892028,791827303.400562,182628979.260953
"MDA","LUT",2020,0.0676703194842182,0.0625048183494391,151.344977779595,975.436066199952,312721286.986981,12916157.9866069
"NER","LUT",2020,0.217310766109771,0.0449559805910277,84.7839719548238,2462.24575029359,404646699.392086,19471054.7164588
"NGA","LUT",2020,5.55250185317624,2.11160062046039,4280.15553524635,93883.039136395,26726025329.1896,672939001.252845
"TCD","LUT",2020,0.184552982568962,0.00515786169207316,11.87720353707,3218.9024229874,359377443.68858,22652664.228779
"SDN","LUT",2020,1.48912537474771,0.411463653181582,1143.21025816971,25988.4277424725,4764692934.45929,165706277.796092
"CAF","LUT",2020,0,0.000000984380117528148,0.00288619057935995,1098.95081355733,110363908.396919,6715322.83197801
"MAR","LUT",2020,1.67115275194271,1.10264919878898,3912.90903332227,26770.852359771,6116175937.89898,233596086.271537
"MRT","LUT",2020,0.165657309166064,0.0446256356682344,126.356301073593,3354.35468853862,288449297.956098,21354959.9562138
"SEN","LUT",2020,0.441040611581518,0.295432491778507,644.7127131258,4654.86521645188,818818734.663036,40004554.5290615
"GMB","LUT",2020,0.13379403298991,0.0427369780139005,80.864996831558,2151.66257566854,252554173.636672,13294616.5024713
"MLI","LUT",2020,0.274783055190515,0.150753518737353,288.109955171883,3474.24675448582,724521445.485471,24813874.9116251
"BFA","LUT",2020,0.42841462266049,0.00776327044902177,13.5273029231181,4750.88210043375,892681548.258894,25283574.1145924
"GNB","LUT",2020,0.0625199871231575,0.0159658666101832,30.8232358984423,797.186627786098,128700898.239573,4868993.66989456
"GHA","LUT",2020,0.7896484707991,0.401490038178486,1060.56286414926,9503.56521733473,3186429109.24553,82765006.2087156
"SLE","LUT",2020,0.0845804321156248,0.0193643857801684,44.593911022979,1353.26569056789,228788484.17581,7698023.80441982
"CIV","LUT",2020,0.449884252544379,0.235627339108899,555.870974806675,4413.8743706352,1657480315.05936,37960451.0707092
"GIN","LUT",2020,0.256962800243353,0.165688308133923,366.579897750414,3359.81651177285,681160936.670817,28884729.2688155
"LBR","LUT",2020,0.552075216445845,0.0386836339832376,79.556011219345,5359.97771795302,403549756.590264,34294677.3430151
"DZA","LUT",2020,2.46421003083268,2.47502263614691,6664.05968720448,54318.7540260348,6286564484.65493,488810634.672635
"TUN","LUT",2020,0.110612225674016,0.29013250908643,1055.33664342925,2250.49069868535,2111899831.92731,40186832.2438196
