"SC","Year","ISO3","POP","GCAP","carPKM","motorPKM","ptPKM","walkPKM","cyclePKM"
"ROG",2030,"NER",3250,1093.15547572818,1367086145.30227,1414279747.67351,10400070743.5988,504076755.518999,683862558.983541
"LUT",2030,"NER",3250,1093.15547572818,772119749.191437,1072682021.99246,7881434691.23456,338025966.380539,461791837.567633
"BAU",2035,"NER",4045,1266.64441634517,2427533716.1399,2053689062.55394,11923548145.209,737957382.087581,1002520891.48258
"ROG",2035,"NER",4045,1266.64441634517,1590220088.32708,1760282966.98732,16394715590.9084,624602595.177862,848358014.888397
"LUT",2035,"NER",4045,1266.64441634517,802189644.203745,1224913890.71435,11571072005.0467,372054220.805502,509744973.418054
"BAU",2040,"NER",4983,1480.08471011212,3193109681.68146,2718523457.96009,15914516153.7251,974820178.365636,1326529194.12777
"ROG",2040,"NER",4983,1480.08471011212,1774514997.73195,2092554647.33653,24998265195.0504,736139683.330802,1001397477.76055
"LUT",2040,"NER",4983,1480.08471011212,796747106.95186,1346611281.15742,16560742477.5363,394642485.98411,542285181.900044
"BAU",2045,"NER",6068,1761.98065228272,4242472499.71928,3508975330.20867,20688588922.7435,1253760497.87442,1709768576.23859
"ROG",2045,"NER",6068,1761.98065228272,1962568985.86126,2349037746.40893,37007607259.418,817455338.589933,1114192828.32219
"LUT",2045,"NER",6068,1761.98065228272,790992982.097947,1402342472.54427,23123840229.1209,397203817.1145,547505734.034359
"BAU",2050,"NER",7303,2134.28567870688,5552615634.35446,4438127021.87609,26330183631.4324,1579418614.84408,2159586556.57042
"ROG",2050,"NER",7303,2134.28567870688,2027993705.37,2491851364.7303,53140401112.2687,857245897.497536,1171230489.79246
"LUT",2050,"NER",7303,2134.28567870688,737715675.333589,1380808583.9398,31406731344.8304,378983192.118108,524153417.10815
"BAU",2015,"NGA",46760,4079.07650602117,42476918683.8687,14293089336.0406,57576549490.4238,4480530089.98412,6240311201.10049
"ROG",2015,"NGA",46760,4079.07650602117,41538832500.6662,14376541875.9425,57506939562.5274,4510302592.31121,6281764012.65073
"LUT",2015,"NGA",46760,4079.07650602117,41538832500.6662,14376541875.9425,57506939562.5274,4510302592.31121,6281764012.65073
"BAU",2020,"NGA",57128,4171.59225665174,61659269967.1661,20932084849.5662,84786303659.9047,6704163484.42298,9327307633.92223
"ROG",2020,"NGA",57128,4171.59225665174,58257415840.935,21232950488.5566,84628760231.0434,6814012720.68455,9480032859.59467
"LUT",2020,"NGA",57128,4171.59225665174,58257415840.935,21232950488.5566,84628760231.0434,6814012720.68455,9480032859.59467
"BAU",2025,"NGA",70803,4771.83720935241,91619571371.0247,29503261623.4084,120413106182.45,9583725238.24323,13366678229.8602
"ROG",2025,"NGA",70803,4771.83720935241,82708532558.592,28647311993.6908,140176677171.298,9246192363.82228,12895065298.9909
"LUT",2025,"NGA",70803,4771.83720935241,63343719110.7668,25894639109.2904,129613784304.168,7979136287.0877,11153920691.3905
"BAU",2030,"NGA",85984,5629.08679792309,130843201949.341,38959130185.8097,160061673556.413,12729436227.9341,17832100869.5029
"ROG",2030,"NGA",85984,5629.08679792309,107444051626.361,35467252994.8096,223522195527.24,11500584289.2008,16108396868.7056
"LUT",2030,"NGA",85984,5629.08679792309,72329943021.8705,29274763939.2295,192690160601.281,8758781418.19766,12318605779.9706
"BAU",2035,"NGA",97813,6760.63967235756,202615874760.204,42335134917.6687,178914317187.751,13810646943.1047,19452243849.1515
"ROG",2035,"NGA",97813,6760.63967235756,123247976116.576,37605055318.4178,308873363880.541,12277392354.5786,17281828093.8457
"LUT",2035,"NGA",97813,6760.63967235756,76884704941.8993,29389164891.5045,253760084970.688,8662868514.72579,12262389267.7038
"BAU",2040,"NGA",110227,8133.78979902198,263949533778.619,47868095207.595,203333312486.726,15691148513.6142,22258194125.4794
"ROG",2040,"NGA",110227,8133.78979902198,139526668587.374,38830611950.2097,424742838913.537,12754434592.0927,18074945830.3018
"LUT",2040,"NGA",110227,8133.78979902198,79756924064.2125,28667481170.6743,336941860667.844,8339251977.78222,11894801480.6542
"BAU",2045,"NGA",123404,9878.43209418748,338103923222.844,53721334938.3424,229109914601.968,17635931562.1116,25246337355.7131
"ROG",2045,"NGA",123404,9878.43209418748,157526769916.298,38573306371.6112,572312362170.999,12720795405.6499,18185139365.9681
"LUT",2045,"NGA",123404,9878.43209418748,79383785428.6948,25877292132.1379,451575894485.399,7410691436.44811,10666534437.6167
"BAU",2050,"NGA",137141,12114.4931841702,429311449467.009,58716454519.6358,261022817065.252,19238565455.2535,27865062327.9257
"ROG",2050,"NGA",137141,12114.4931841702,170965631159.413,36181806100.9557,760355063515.998,11978351395.6393,17312965710.5214
"LUT",2050,"NGA",137141,12114.4931841702,75052330903.1879,21989755024.6824,586047097843.864,6161832259.04464,8974301316.38229
"BAU",2015,"TCD",1260,1602.62573494373,558065012.532718,419841962.540478,1907566954.82605,143749162.332231,196520659.43771
"ROG",2015,"TCD",1260,1602.62573494373,559933938.528207,419683388.946897,1906774693.84527,143689459.655978,196439039.419081
"LUT",2015,"TCD",1260,1602.62573494373,559933938.528207,419683388.946897,1906774693.84527,143689459.655978,196439039.419081
"BAU",2020,"TCD",1535,1630.99677149729,703077289.687434,602861467.230503,2775609065.03816,211754756.39362,289141049.95106
"ROG",2020,"TCD",1535,1630.99677149729,606053079.150791,610919675.167189,2772622290.94933,214872641.147445,293398373.312768
"LUT",2020,"TCD",1535,1630.99677149729,606053079.150791,610919675.167189,2772622290.94933,214872641.147445,293398373.312768
"BAU",2025,"TCD",1893,1615.46248072977,890057201.295298,849929036.956352,3963868662.87776,301308451.142347,411172445.334506
"ROG",2025,"TCD",1893,1615.46248072977,732737335.988703,868167090.104054,3914437089.14462,307678057.348816,419864556.52423
"LUT",2025,"TCD",1893,1615.46248072977,571008209.623752,790252537.190418,3519268618.38808,267710913.706077,366285520.235479
"BAU",2030,"TCD",2347,1596.33745510052,1098044419.31775,1181462127.84222,5579675640.44735,418597468.022234,571187141.026119
"ROG",2030,"TCD",2347,1596.33745510052,816129171.308595,1217040324.72114,5433198381.4103,431903138.026438,589343074.087647
"LUT",2030,"TCD",2347,1596.33745510052,558803096.253561,1019038302.97905,4482511383.55918,333301726.626077,456965940.471321
"BAU",2035,"TCD",2778,1626.67161138025,1332141679.47235,1506390165.57424,7178013170.88194,531721637.625568,725864599.761789
"ROG",2035,"TCD",2778,1626.67161138025,938527809.832719,1542048741.03357,7146571409.22636,544905038.530831,743861542.794487
"LUT",2035,"TCD",2778,1626.67161138025,590259201.373006,1220358603.07754,5579843835.36892,387926461.990311,532835245.565407
"BAU",2040,"TCD",3268,1669.86235692639,1592543636.53809,1890908283.99329,9085676472.81625,663469330.364078,906307400.623336
"ROG",2040,"TCD",3268,1669.86235692639,1058471255.37309,1916415419.19272,9325806651.87458,672543649.397867,918703033.879549
"LUT",2040,"TCD",3268,1669.86235692639,613887012.816039,1444532794.82743,6948928486.97148,446686409.789827,614673427.054332
"BAU",2045,"TCD",3803,1741.65328401607,1923676213.65195,2321551294.72662,11236417239.3469,809127116.512127,1106249142.29137
"ROG",2045,"TCD",3803,1741.65328401607,1220209686.44228,2310790433.47571,12098252335.225,804094098.104558,1099367933.90906
"LUT",2045,"TCD",3803,1741.65328401607,660286590.345434,1669335584.29843,8670935674.95866,502870475.574181,693282601.431598
"BAU",2050,"TCD",4381,1846.25868966264,2262559682.61867,2803568552.10357,13659258331.7043,970824746.949485,1328767532.43133
"ROG",2050,"TCD",4381,1846.25868966264,1335412124.1334,2716202699.65045,15682294820.733,936632130.421591,1281968108.71052
"LUT",2050,"TCD",4381,1846.25868966264,679044157.972764,1887334605.59979,10871864091.9882,554732961.206745,766261536.330303
"BAU",2015,"SDN",7697,2574.37612177268,9812703796.80622,3434390612.0708,16154106785.6361,1191721523.80947,1636721204.7313
"ROG",2015,"SDN",7697,2574.37612177268,8978725513.33007,3504436121.5302,16138091575.0091,1218110739.39698,1672968653.95585
"LUT",2015,"SDN",7697,2574.37612177268,8978725513.33007,3504436121.5302,16138091575.0091,1218110739.39698,1672968653.95585
"BAU",2020,"SDN",8913,2759.13377482922,11606721911.714,4314852827.49891,20390148643.7302,1507570468.19337,2072155474.16073
"ROG",2020,"SDN",8913,2759.13377482922,10016849160.4732,4447614431.1726,20360009582.1119,1557890742.64292,2141344138.03093
