"ISO","Country","Subject Descriptor","Units","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","olgroup"
"BHS","The Bahamas","GDP per capita","2005 USD PPP","26262.560000000001","23315.810000000001","24328.84","24655.830000000002","27560.16","28317.830000000002","28291.630000000001","28627.27","28794.48","30211.139999999999","29211.57","27483.849999999999","25943.490000000002","25548.450000000001","25900.860000000001","26614.84","27357.279999999999","28356.459999999999","29937.310000000001","30781.759999999998","30982.869999999999","30822.830000000002","30826.490000000002","30969.619999999999","31381.950000000001","31199.360000000001","31791.349999999999","32203.669999999998","32058.080000000002","29916.700000000001","29804.639999999999","30024.290000000001","30415.790000000001","30086.209999999999","30064.040000000001","29878.669999999998","29999.5","30125.689999999999","30478.709999999999","30839.849999999999","30992.52","31161.650000000001","31469.299999999999","31776.509999999998","32085.939999999999","32396.490000000002","32731.419999999998","33069.980000000003","33417.120000000003","33774.849999999999","34148.480000000003","34560.559999999998","34990.32","35433.0","35882.720000000001","36337.139999999999","36829.339999999997","37329.110000000001","37839.57","38367.709999999999","38916.860000000001","39537.639999999999","40194.489999999998","40881.540000000001","41590.029999999999","42312.599999999999","43099.870000000003","43903.410000000003","44723.730000000003","45564.209999999999","46428.160000000003","null"
"BHR","Bahrain","GDP per capita","2005 USD PPP","21139.02","19255.720000000001","17257.540000000001","17874.540000000001","18274.470000000001","16899.799999999999","16547.41","17641.810000000001","18221.540000000001","17682.950000000001","17909.59","19378.509999999998","20157.32","22210.259999999998","21627.93","21925.48","22197.5","22186.650000000001","22555.18","22942.220000000001","23725.57","24650.200000000001","25964.580000000002","27614.939999999999","28093.650000000001","28068.470000000001","26740.77","25403.5","23756.439999999999","22039.200000000001","21262.52","20570.52","20754.32","21594.330000000002","22373.439999999999","22836.720000000001","23012.200000000001","23129.91","23200.52","23291.43","23497.849999999999","23742.240000000002","24008.0","24261.310000000001","24515.290000000001","24784.869999999999","25042.52","25307.389999999999","25583.950000000001","25866.330000000002","26138.560000000001","26428.740000000002","26713.810000000001","27002.880000000001","27289.98","27565.25","27841.66","28109.950000000001","28377.77","28643.810000000001","28912.23","29189.580000000002","29477.849999999999","29786.349999999999","30121.490000000002","30489.860000000001","30901.77","31351.02","31837.970000000001","32363.869999999999","32925.730000000003","Middle East"
"BGD","Bangladesh","GDP per capita","2005 USD PPP","676.80999999999995","683.38999999999999","680.96000000000004","689.64999999999998","706.25","709.62","719.94000000000005","726.85000000000002","723.00999999999999","722.97000000000003","747.19000000000005","754.13999999999999","774.48000000000002","792.50999999999999","807.58000000000004","829.84000000000003","850.51999999999998","878.46000000000004","906.36000000000001","932.48000000000002","969.77999999999997","1002.73","1028.9000000000001","1065.1400000000001","1114.6300000000001","1164.5999999999999","1226.4000000000001","1290.6900000000001","1356.51","1421.51","1495.23","1570.7","1645.6199999999999","1722.5419999999999","1807.675","1899.8689999999999","2000.7550000000001","2114.7570000000001","2238.1860000000001","2369.627","2503.4839999999999","2639.7469999999998","2754.0360000000001","2872.6640000000002","2996.346","3125.2539999999999","3255.6019999999999","3390.5160000000001","3530.5909999999999","3675.6329999999998","3826.096","3976.6790000000001","4131.8059999999996","4291.683","4456.527","4626.7709999999997","4797.924","4974.076","5155.5839999999998","5342.741","5535.6319999999996","5733.5119999999997","5939.7569999999996","6154.8850000000002","6379.2550000000001","6612.8980000000001","6851.0200000000004","7097.7889999999998","7353.268","7617.0900000000001","7889.2550000000001","Asia"
"BRB","Barbados","GDP per capita","2005 USD PPP","14024.870000000001","13525.129999999999","12791.65","12753.219999999999","13118.07","13123.98","14299.17","14384.889999999999","15223.49","15930.84","15111.719999999999","14623.76","13853.9","13950.82","14463.809999999999","14635.93","14858.040000000001","15757.43","16352.809999999999","16725.400000000001","17063.889999999999","16669.299999999999","16289.42","16572.209999999999","17329.950000000001","17964.84","18565.84","19236.709999999999","19162.43","18224.779999999999","18247.880000000001","18536.049999999999","18902.099999999999","18853.130000000001","18854.130000000001","18901.990000000002","19259.799999999999","19663.68","20037.169999999998","20400.990000000002","20773.68","21155.970000000001","21513.529999999999","21867.189999999999","22223.34","22583.77","22955.57","23333.07","23718.93","24112.77","24517.349999999999","24938.849999999999","25372.650000000001","25817.75","26273.169999999998","26738.990000000002","27238.630000000001","27752.689999999999","28282.09","28829.299999999999","29395.060000000001","30014.950000000001","30665.540000000001","31346.529999999999","32055.32","32788.839999999997","33569.379999999997","34374.510000000002","35204.379999999997","36058.769999999997","36939.07","null"
"BLR","Belarus","GDP per capita","2005 USD PPP","5700.0299999999997","5780.46","5905.9700000000003","6051.7700000000004","6093.6999999999998","6119.5500000000002","6336.0600000000004","6380.1000000000004","6440.9799999999996","6597.7700000000004","6389.7200000000003","6297.8100000000004","5685.5","5251.9499999999998","4641.1700000000001","4166.1300000000001","4295.2799999999997","4803.6800000000003","5231.2700000000004","5435.8299999999999","5779.54","6081.6599999999999","6418.2700000000004","6901.8100000000004","7727.7399999999998","8497.7800000000007","9393.5400000000009","10252.35","11332.959999999999","11404.17","12317.42","12976.41","13181.620000000001","13357.530000000001","13610.280000000001","13120.440000000001","12812.68","12902.969999999999","13057.02","13239.129999999999","13434.67","13652.190000000001","14502.540000000001","15412.450000000001","16389.709999999999","17439.220000000001","18483.549999999999","19594.66","20781.790000000001","22045.32","23391.560000000001","24731.040000000001","26143.110000000001","27632.400000000001","29199.32","30844.200000000001","32494.439999999999","34220.650000000001","36025.849999999999","37912.870000000003","39884.690000000002","41867.18","43951.080000000002","46148.199999999997","48473.080000000002","50938.040000000001","53460.959999999999","56127.139999999999","58951.910000000003","61955.190000000002","65162.239999999998","Transition"
"BEL","Belgium","GDP per capita","2005 USD PPP","20982.200000000001","20925.68","21059.849999999999","21136.290000000001","21660.91","22007.860000000001","22380.889999999999","22852.93","23874.029999999999","24636.27","25340.610000000001","25734.490000000002","26054.900000000001","25733.25","26496.450000000001","27068.189999999999","27341.970000000001","28259.689999999999","28691.759999999998","29614.52","30641.099999999999","30776.740000000002","31110.830000000002","31269.43","32031.459999999999","32388.439999999999","33117.360000000001","33838.360000000001","34005.980000000003","32921.309999999998","33454.199999999997","33944.900000000001","33743.32","33662.190000000002","34035.709999999999","34420.169999999998","34733.93","35128.349999999999","35560.57","35997.32","36435.809999999998","36875.669999999998","37514.379999999997","38166.739999999998","38834.059999999998","39518.410000000003","40220.93","40941.300000000003","41678.440000000002","42431.959999999999","43200.470000000001","43968.050000000003","44734.050000000003","45499.309999999998","46264.68","47031.510000000002","47801.18","48574.669999999998","49353.129999999997","50137.839999999997","50930.709999999999","51733.25","52546.809999999998","53372.330000000002","54210.919999999998","55063.93","55932.540000000001","56817.940000000002","57721.260000000002","58616.029999999999","59533.260000000002","EEA + Turkey"
"BLZ","Belize","GDP per capita","2005 USD PPP","3392.46","3353.9499999999998","3252.27","3089.2600000000002","3055.4499999999998","2998.6199999999999","3049.1199999999999","3300.3600000000001","3509.8800000000001","3862.3899999999999","4153.7399999999998","4503.7299999999996","4892.1099999999997","5041.6300000000001","4910.46","4788.5200000000004","4740.54","4782.8100000000004","4835.2600000000002","5114.2299999999996","5602.1800000000003","5740.2700000000004","5892.5200000000004","6296.6800000000003","6442.8299999999999","6495.9499999999998","6654.0200000000004","6595.21","6657.1300000000001","6521.1999999999998","6566.1599999999999","6596.9200000000001","6645.3199999999997","6615.848","6718.9319999999998","6689.4650000000001","6725.4290000000001","6779.0699999999997","6828.7799999999997","6876.0429999999997","6919.527","6936.6710000000003","7148.1819999999998","7364.3190000000004","7586.3559999999998","7814.2920000000004","8051.4319999999998","8294.5840000000007","8544.8359999999993","8801.8829999999998","9066.6100000000006","9340.2829999999994","9621.0810000000001","9909.1000000000004","10205.129999999999","10510.110000000001","10830.190000000001","11161.02","11502.48","11854.74","12217.790000000001","12600.1","12999.780000000001","13416.700000000001","13850.91","14302.02","14774.629999999999","15264.559999999999","15771.09","16293.379999999999","16831.279999999999","null"
"BEN","Benin","GDP per capita","2005 USD PPP","1134.0699999999999","1213.97","1207.6800000000001","1123.74","1179.8","1234.1700000000001","1227.0799999999999","1176.3399999999999","1183.1700000000001","1116.3699999999999","1117.01","1131.6099999999999","1136.8299999999999","1136.3099999999999","1146.4100000000001","1161.4400000000001","1189.9000000000001","1228.02","1249.02","1271.5899999999999","1306.46","1330.25","1346.7","1354.9000000000001","1352.9000000000001","1349.1400000000001","1358.0699999999999","1378.3699999999999","1406.47","1402.71","1398.51","1411.4100000000001","1431.99","1489.835","1545.6679999999999","1583.8119999999999","1619.973","1660.4200000000001","1705.4670000000001","1752.1500000000001","1803.9269999999999","1857.8099999999999","1924.5129999999999","1994.9400000000001","2069.1489999999999","2146.8490000000002","2226.377","2309.134","2395.779","2486.1779999999999","2580.846","2676.4470000000001","2775.9470000000001","2879.4430000000002","2987.0909999999999","3099.319","3214.1529999999998","3333.8200000000002","3458.7080000000001","3589.4000000000001","3726.1999999999998","3868.279","4018.8069999999998","4178.3400000000001","4347.3819999999996","4526.2060000000001","4711.875","4907.375","5112.9279999999999","5328.4390000000003","5554.1589999999997","Africa"
"BTN","Bhutan","GDP per capita","2005 USD PPP","870.80999999999995","962.29999999999995","1015.59","1064.21","1116.4000000000001","1132.6700000000001","1184.1700000000001","1375.6099999999999","1533.9100000000001","1592.8800000000001","1721.1700000000001","1814.3800000000001","1884.01","1989.53","2100.5999999999999","2248.1700000000001","2378.5100000000002","2470.3600000000001","2548.6700000000001","2650.7399999999998","2770.75","2879.7199999999998","3043.46","3218.5900000000001","3348.2199999999998","3480.1799999999998","3617.8499999999999","4042.8000000000002","4517.79","4738.6300000000001","5045.25","5361.0200000000004","5722.8599999999997","5910.1300000000001","6196.9939999999997","6581.6549999999997","7045.3149999999996","7562.8990000000003","8322.2150000000001","8865.7060000000001","9347.7620000000006","9953.402","10398.35","10858.65","11337.35","11834.66","12339.700000000001","12859.969999999999","13398.15","13952.01","14523.139999999999","15091.98","15674.1","16269.809999999999","16879.900000000001","17506.200000000001","18132.119999999999","18772.369999999999","19427.43","20097.709999999999","20782.799999999999","21477.860000000001","22196.459999999999","22940.27","23710.439999999999","24506.740000000002","25319.169999999998","26155.84","27017.779999999999","27905.169999999998","28819.57","null"
"BOL","Bolivia","GDP per capita","2005 USD PPP","3606.0500000000002","3537.75","3326.5300000000002","3125.3400000000001","3053.6799999999998","2938.7399999999998","2801.52","2808.1399999999999","2826.29","2868.0799999999999","2933.4099999999999","3017.4899999999998","2996.6599999999999","3052.79","3122.6399999999999","3195.8000000000002","3262.3800000000001","3350.8699999999999","3445.6999999999998","3389.1700000000001","3403.7199999999998","3391.8400000000001","3407.8200000000002","3433.02","3509.8000000000002","3772.04","3876.4000000000001","3812.1599999999999","3981.3499999999999","4049.75","4150.46","4289.6199999999999","4412.6999999999998","4639.3670000000002","4817.0709999999999","4970.6499999999996","5080.5","5178.0640000000003","5277.8850000000002","5380.1639999999998","5485.0360000000001","5592.6480000000001","5800.2190000000001","6014.8140000000003","6237.3270000000002","6468.1559999999999","6706.7129999999997","6952.0879999999997","7206.2290000000003","7468.5950000000003","7739.5290000000005","8015.9719999999998","8299.7900000000009","8592.4570000000003","8894.7299999999996","9207.6299999999992","9522.5169999999998","9847.1990000000005","10183.370000000001","10532.17","10894.360000000001","11267.0","11657.57","12067.84","12498.93","12951.370000000001","13418.950000000001","13907.35","14416.75","14946.16","15495.459999999999","Latin America"
